Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
05:06:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.8,---,24,49,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,768.7,---,24,49,87,0.0,0.0,---,---,---,---,---,---
05:06:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,768.4,---,24,49,87,0.0,0.0,---,---,---,---,---,---
05:06:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,768.4,---,23,49,87,0.0,0.0,---,---,---,---,---,---
05:06:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.3,---,23,50,86,0.0,0.0,---,---,---,---,---,---
05:06:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,768.2,---,24,50,87,0.0,0.0,---,---,---,---,---,---
05:06:2026,01:45,C,mm,km/h,mm,15,16,15,0.00,0.00,768.0,---,23,50,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,768.0,---,23,50,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,768.0,---,23,50,89,0.0,0.0,---,---,---,---,---,---
05:06:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,767.9,---,23,50,90,0.0,0.0,---,---,---,---,---,---
05:06:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,767.7,---,23,50,89,0.0,1.6,WSW,SE,---,---,---,---
05:06:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,767.8,---,23,50,89,0.0,0.0,---,---,---,---,---,---
05:06:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,767.9,---,23,50,89,0.0,0.0,---,---,---,---,---,---
05:06:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,767.9,---,23,50,89,0.0,0.0,---,---,---,---,---,---
05:06:2026,03:45,C,mm,km/h,mm,15,15,15,0.00,0.00,768.0,---,23,50,89,0.0,0.0,---,---,---,---,---,---
05:06:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,767.9,---,23,50,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,767.9,---,23,50,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,768.0,---,23,50,88,0.0,0.0,---,---,---,---,---,---
05:06:2026,04:45,C,mm,km/h,mm,16,16,15,0.00,0.00,768.3,---,23,50,87,0.0,0.0,---,---,---,---,---,---
05:06:2026,05:00,C,mm,km/h,mm,16,16,15,0.00,0.00,768.4,---,23,50,85,0.0,0.0,---,---,---,---,---,---
05:06:2026,05:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.5,---,23,50,84,0.0,1.6,NNW,NNW,---,---,---,---
05:06:2026,05:30,C,mm,km/h,mm,16,16,16,0.00,0.00,768.4,---,23,51,84,0.0,0.0,---,---,---,---,---,---
05:06:2026,05:45,C,mm,km/h,mm,17,17,16,0.00,0.00,768.5,---,23,51,82,0.0,0.0,---,---,---,---,---,---
05:06:2026,06:00,C,mm,km/h,mm,17,17,17,0.00,0.00,768.6,---,23,50,81,0.0,0.0,---,---,---,---,---,---
05:06:2026,06:15,C,mm,km/h,mm,17,17,17,0.00,0.00,768.7,---,23,50,78,0.0,1.6,ENE,ENE,---,---,---,---
05:06:2026,06:30,C,mm,km/h,mm,17,17,17,0.00,0.00,768.7,---,23,50,81,0.0,0.0,---,---,---,---,---,---
05:06:2026,06:45,C,mm,km/h,mm,17,17,17,0.00,0.00,769.1,---,23,50,82,0.0,0.0,---,---,---,---,---,---
05:06:2026,07:00,C,mm,km/h,mm,17,17,17,0.00,0.00,769.1,---,23,50,83,0.0,0.0,---,---,---,---,---,---
05:06:2026,07:15,C,mm,km/h,mm,17,17,17,0.00,0.00,769.2,---,23,50,83,0.0,1.6,ENE,ENE,---,---,---,---
05:06:2026,07:30,C,mm,km/h,mm,17,17,17,0.00,0.00,769.2,---,23,50,82,0.0,0.0,---,---,---,---,---,---
05:06:2026,07:45,C,mm,km/h,mm,17,17,17,0.00,0.00,769.3,---,23,50,84,0.0,0.0,---,---,---,---,---,---
05:06:2026,08:00,C,mm,km/h,mm,17,17,17,0.00,0.00,769.4,---,23,51,86,0.0,0.0,---,---,---,---,---,---
05:06:2026,08:15,C,mm,km/h,mm,17,17,17,0.00,0.00,769.4,---,23,52,86,0.0,0.0,---,---,---,---,---,---
05:06:2026,08:30,C,mm,km/h,mm,17,17,17,0.00,0.00,769.4,---,23,52,86,0.0,1.6,SSE,SSE,---,---,---,---
05:06:2026,08:45,C,mm,km/h,mm,17,17,17,0.00,0.00,769.4,---,24,51,85,0.0,4.8,SE,SE,---,---,---,---
05:06:2026,09:00,C,mm,km/h,mm,17,17,17,0.00,0.00,769.5,---,24,51,85,0.0,1.6,S,SE,---,---,---,---
05:06:2026,09:15,C,mm,km/h,mm,17,17,17,0.00,0.00,769.4,---,24,52,84,0.0,3.2,SSE,SE,---,---,---,---
05:06:2026,09:30,C,mm,km/h,mm,17,17,17,0.00,0.00,769.3,---,24,52,83,0.0,1.6,SE,SE,---,---,---,---
05:06:2026,09:45,C,mm,km/h,mm,18,18,17,0.00,0.00,769.2,---,24,52,80,0.0,1.6,SE,NE,---,---,---,---
05:06:2026,10:00,C,mm,km/h,mm,18,18,18,0.00,0.00,769.0,---,24,52,78,0.0,3.2,ESE,NNE,---,---,---,---
