Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
22:04:2026,00:15,C,mm,km/h,mm,15,16,15,0.00,0.00,771.2,---,24,44,83,0.0,1.6,SSE,SSE,---,---,---,---
22:04:2026,00:30,C,mm,km/h,mm,15,16,15,0.00,0.00,771.2,---,24,44,83,0.0,3.2,ESE,ESE,---,---,---,---
22:04:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.9,---,24,44,84,0.0,0.0,---,---,---,---,---,---
22:04:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.6,---,24,44,85,0.0,0.0,---,---,---,---,---,---
22:04:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,770.4,---,24,44,86,0.0,0.0,---,---,---,---,---,---
22:04:2026,01:30,C,mm,km/h,mm,14,15,14,0.00,0.00,770.2,---,24,44,86,0.0,0.0,---,---,---,---,---,---
22:04:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,770.0,---,24,44,87,0.0,0.0,---,---,---,---,---,---
22:04:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,769.9,---,24,45,88,0.0,0.0,---,---,---,---,---,---
22:04:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,769.7,---,24,45,88,0.0,0.0,---,---,---,---,---,---
22:04:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,24,45,90,0.0,0.0,---,---,---,---,---,---
22:04:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,23,45,89,0.0,0.0,---,---,---,---,---,---
22:04:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,769.6,---,23,45,91,0.0,0.0,---,---,---,---,---,---
22:04:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,769.6,---,23,45,91,0.0,0.0,---,---,---,---,---,---
22:04:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,769.7,---,23,45,93,0.0,0.0,---,---,---,---,---,---
22:04:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,769.7,---,23,45,90,0.0,0.0,---,---,---,---,---,---
22:04:2026,04:00,C,mm,km/h,mm,14,14,13,0.00,0.00,769.8,---,23,45,83,0.0,0.0,---,---,---,---,---,---
22:04:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,769.7,---,23,45,81,0.0,0.0,---,---,---,---,---,---
22:04:2026,04:30,C,mm,km/h,mm,14,14,14,0.00,0.00,769.7,---,23,45,81,0.0,1.6,NNE,N,---,---,---,---
22:04:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.7,---,23,45,82,0.0,0.0,---,---,---,---,---,---
22:04:2026,05:00,C,mm,km/h,mm,13,14,13,0.00,0.00,769.7,---,23,45,84,0.0,0.0,---,---,---,---,---,---
22:04:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,769.6,---,23,45,85,0.0,0.0,---,---,---,---,---,---
22:04:2026,05:30,C,mm,km/h,mm,13,13,13,0.00,0.00,769.6,---,23,45,87,0.0,0.0,---,---,---,---,---,---
22:04:2026,05:45,C,mm,km/h,mm,12,13,12,0.00,0.00,769.6,---,23,45,88,0.0,0.0,---,---,---,---,---,---
22:04:2026,06:00,C,mm,km/h,mm,12,12,12,0.00,0.00,769.7,---,23,45,90,0.0,0.0,---,---,---,---,---,---
22:04:2026,06:15,C,mm,km/h,mm,12,12,12,0.00,0.00,769.9,---,23,45,91,0.0,0.0,---,---,---,---,---,---
22:04:2026,06:30,C,mm,km/h,mm,12,12,12,0.00,0.00,770.0,---,23,45,91,0.0,0.0,---,---,---,---,---,---
22:04:2026,06:45,C,mm,km/h,mm,13,13,12,0.00,0.00,770.1,---,23,45,89,0.0,0.0,---,---,---,---,---,---
22:04:2026,07:00,C,mm,km/h,mm,13,13,13,0.00,0.00,770.4,---,23,46,88,0.0,0.0,---,---,---,---,---,---
22:04:2026,07:15,C,mm,km/h,mm,13,13,13,0.00,0.00,770.5,---,23,46,88,0.0,0.0,---,---,---,---,---,---
22:04:2026,07:30,C,mm,km/h,mm,14,14,13,0.00,0.00,770.6,---,23,46,83,0.0,0.0,---,---,---,---,---,---
22:04:2026,07:45,C,mm,km/h,mm,15,15,14,0.00,0.00,770.7,---,23,45,79,0.0,1.6,NE,NE,---,---,---,---
22:04:2026,08:00,C,mm,km/h,mm,17,17,15,0.00,0.00,770.6,---,23,45,74,0.0,1.6,E,E,---,---,---,---
22:04:2026,08:15,C,mm,km/h,mm,19,19,17,0.00,0.00,770.7,---,23,45,67,0.0,0.0,---,---,---,---,---,---
22:04:2026,08:30,C,mm,km/h,mm,19,19,19,0.00,0.00,770.8,---,23,45,64,0.0,4.8,NE,NE,---,---,---,---
22:04:2026,08:45,C,mm,km/h,mm,20,20,19,0.00,0.00,770.8,---,23,45,62,0.0,3.2,NW,N,---,---,---,---
22:04:2026,09:00,C,mm,km/h,mm,20,20,20,0.00,0.00,770.9,---,23,45,60,0.0,3.2,NNE,NNE,---,---,---,---
22:04:2026,09:15,C,mm,km/h,mm,21,21,20,0.00,0.00,770.9,---,23,45,57,0.0,6.4,NNE,NE,---,---,---,---
22:04:2026,09:30,C,mm,km/h,mm,22,22,21,0.00,0.00,770.9,---,23,45,54,0.0,4.8,N,NE,---,---,---,---
22:04:2026,09:45,C,mm,km/h,mm,22,23,22,0.00,0.00,770.9,---,23,45,51,1.6,6.4,W,W,---,---,---,---
22:04:2026,10:00,C,mm,km/h,mm,22,23,22,0.00,0.00,770.8,---,23,44,50,0.0,4.8,W,ESE,---,---,---,---
22:04:2026,10:15,C,mm,km/h,mm,23,23,22,0.00,0.00,770.7,---,23,44,48,0.0,6.4,WNW,SE,---,---,---,---
22:04:2026,10:30,C,mm,km/h,mm,24,24,23,0.00,0.00,770.5,---,23,44,49,1.6,9.7,NW,NW,---,---,---,---
22:04:2026,10:45,C,mm,km/h,mm,24,24,24,0.00,0.00,770.4,---,24,44,46,0.0,12.9,NNW,ENE,---,---,---,---
22:04:2026,11:00,C,mm,km/h,mm,24,25,24,0.00,0.00,770.3,---,24,44,44,0.0,6.4,NNE,NE,---,---,---,---
22:04:2026,11:15,C,mm,km/h,mm,24,25,24,0.00,0.00,770.2,---,24,43,46,1.6,9.7,NW,SSE,---,---,---,---
22:04:2026,11:30,C,mm,km/h,mm,23,24,23,0.00,0.00,770.0,---,24,43,47,1.6,9.7,NNW,SE,---,---,---,---
22:04:2026,11:45,C,mm,km/h,mm,25,25,23,0.00,0.00,769.6,---,24,43,44,1.6,6.4,SSE,NE,---,---,---,---
22:04:2026,12:00,C,mm,km/h,mm,27,27,25,0.00,0.00,769.4,---,24,43,39,1.6,6.4,WNW,SE,---,---,---,---
22:04:2026,12:15,C,mm,km/h,mm,26,27,26,0.00,0.00,769.2,---,24,42,40,1.6,11.3,NW,NNW,---,---,---,---
22:04:2026,12:30,C,mm,km/h,mm,26,27,26,0.00,0.00,768.9,---,24,42,40,3.2,8.0,NE,NE,---,---,---,---
22:04:2026,12:45,C,mm,km/h,mm,25,26,25,0.00,0.00,768.8,---,24,42,43,0.0,6.4,NNE,ESE,---,---,---,---
22:04:2026,13:00,C,mm,km/h,mm,26,26,25,0.00,0.00,768.6,---,24,42,40,1.6,6.4,SSW,S,---,---,---,---
22:04:2026,13:15,C,mm,km/h,mm,25,26,25,0.00,0.00,768.3,---,24,44,40,1.6,4.8,SE,SE,---,---,---,---
22:04:2026,13:30,C,mm,km/h,mm,27,27,25,0.00,0.00,767.9,---,24,42,37,1.6,9.7,SSW,S,---,---,---,---
22:04:2026,13:45,C,mm,km/h,mm,26,27,26,0.00,0.00,767.9,---,25,40,36,0.0,9.7,N,SSE,---,---,---,---
22:04:2026,14:00,C,mm,km/h,mm,25,26,25,0.00,0.00,767.5,---,25,39,36,0.0,4.8,NNW,NNE,---,---,---,---
22:04:2026,14:15,C,mm,km/h,mm,25,25,25,0.00,0.00,767.4,---,25,39,38,0.0,4.8,WNW,WNW,---,---,---,---
22:04:2026,14:30,C,mm,km/h,mm,24,25,24,0.00,0.00,767.4,---,25,37,42,1.6,12.9,NW,E,---,---,---,---
22:04:2026,14:45,C,mm,km/h,mm,21,24,21,0.00,0.00,767.7,---,24,38,50,3.2,14.5,SSE,SSE,---,---,---,---
22:04:2026,15:00,C,mm,km/h,mm,20,21,20,0.00,0.00,767.2,---,24,39,47,9.7,29.0,SW,SSE,---,---,---,---
22:04:2026,15:15,C,mm,km/h,mm,21,21,20,0.00,0.00,767.2,---,24,39,46,6.4,20.9,S,SSE,---,---,---,---
22:04:2026,15:30,C,mm,km/h,mm,21,21,21,0.00,0.00,767.5,---,24,39,53,1.6,11.3,SSE,SSE,---,---,---,---
22:04:2026,15:45,C,mm,km/h,mm,20,21,20,0.00,0.00,767.2,---,24,39,56,0.0,3.2,S,SSE,---,---,---,---
22:04:2026,16:00,C,mm,km/h,mm,20,20,20,0.00,0.00,766.9,---,24,39,58,0.0,8.0,WNW,WNW,---,---,---,---
22:04:2026,16:15,C,mm,km/h,mm,21,21,20,0.00,0.00,766.8,---,24,40,53,0.0,9.7,SE,SE,---,---,---,---
22:04:2026,16:30,C,mm,km/h,mm,22,22,21,0.00,0.00,766.6,---,24,40,51,1.6,6.4,ESE,NW,---,---,---,---
22:04:2026,16:45,C,mm,km/h,mm,22,23,22,0.00,0.00,766.6,---,24,40,52,1.6,6.4,SSE,SSE,---,---,---,---
22:04:2026,17:00,C,mm,km/h,mm,23,23,22,0.00,0.00,766.8,---,24,40,51,1.6,6.4,SSE,SSE,---,---,---,---
22:04:2026,17:15,C,mm,km/h,mm,23,23,22,0.00,0.00,766.7,---,24,40,48,0.0,6.4,SSE,SSE,---,---,---,---
22:04:2026,17:30,C,mm,km/h,mm,23,23,23,0.00,0.00,766.2,---,24,40,49,0.0,4.8,NE,NW,---,---,---,---
22:04:2026,17:45,C,mm,km/h,mm,22,23,22,0.00,0.00,766.3,---,24,40,51,0.0,3.2,NNE,NNW,---,---,---,---
22:04:2026,18:00,C,mm,km/h,mm,22,22,22,0.00,0.00,767.0,---,24,40,49,1.6,11.3,WNW,NW,---,---,---,---
22:04:2026,18:15,C,mm,km/h,mm,22,22,22,0.00,0.00,767.5,---,24,40,48,3.2,19.3,NW,NW,---,---,---,---
22:04:2026,18:30,C,mm,km/h,mm,20,22,20,0.00,0.00,767.5,---,24,40,55,4.8,16.1,N,N,---,---,---,---
22:04:2026,18:45,C,mm,km/h,mm,19,20,19,0.00,0.00,767.6,---,24,40,58,0.0,6.4,WNW,N,---,---,---,---
22:04:2026,19:00,C,mm,km/h,mm,19,19,19,0.00,0.00,767.7,---,24,40,58,0.0,3.2,SSE,SSE,---,---,---,---
22:04:2026,19:15,C,mm,km/h,mm,19,19,19,0.00,0.00,768.3,---,24,40,60,1.6,4.8,SE,SE,---,---,---,---
22:04:2026,19:30,C,mm,km/h,mm,19,19,19,0.00,0.00,768.8,---,24,41,63,0.0,4.8,NW,NNE,---,---,---,---
22:04:2026,19:45,C,mm,km/h,mm,18,19,18,0.00,0.00,769.4,---,24,41,70,0.0,8.0,NNE,NE,---,---,---,---
22:04:2026,20:00,C,mm,km/h,mm,16,18,16,1.20,7.00,769.8,---,24,41,76,3.2,12.9,N,NNW,---,---,---,---
22:04:2026,20:15,C,mm,km/h,mm,15,16,15,0.40,5.40,770.0,---,24,42,82,0.0,3.2,WNW,WNW,---,---,---,---
22:04:2026,20:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.1,---,24,43,86,0.0,0.0,---,---,---,---,---,---
